Consumption (kwh), Estimated Cost (p), Start, End
0.005000, 0.12, 2024-04-24T12:30:00+01:00, 2024-04-24T13:00:00+01:00
0.004000, 0.10, 2024-04-24T13:00:00+01:00, 2024-04-24T13:30:00+01:00
0.004000, 0.10, 2024-04-24T13:30:00+01:00, 2024-04-24T14:00:00+01:00
0.005000, 0.12, 2024-04-24T14:00:00+01:00, 2024-04-24T14:30:00+01:00
0.004000, 0.10, 2024-04-24T14:30:00+01:00, 2024-04-24T15:00:00+01:00
0.004000, 0.10, 2024-04-24T15:00:00+01:00, 2024-04-24T15:30:00+01:00
0.004000, 0.10, 2024-04-24T15:30:00+01:00, 2024-04-24T16:00:00+01:00
0.005000, 0.12, 2024-04-24T16:00:00+01:00, 2024-04-24T16:30:00+01:00
0.004000, 0.10, 2024-04-24T16:30:00+01:00, 2024-04-24T17:00:00+01:00
0.004000, 0.10, 2024-04-24T17:00:00+01:00, 2024-04-24T17:30:00+01:00
0.004000, 0.10, 2024-04-24T17:30:00+01:00, 2024-04-24T18:00:00+01:00
0.005000, 0.12, 2024-04-24T18:00:00+01:00, 2024-04-24T18:30:00+01:00
0.004000, 0.10, 2024-04-24T18:30:00+01:00, 2024-04-24T19:00:00+01:00
0.004000, 0.10, 2024-04-24T19:00:00+01:00, 2024-04-24T19:30:00+01:00
0.004000, 0.10, 2024-04-24T19:30:00+01:00, 2024-04-24T20:00:00+01:00
0.005000, 0.12, 2024-04-24T20:00:00+01:00, 2024-04-24T20:30:00+01:00
0.004000, 0.10, 2024-04-24T20:30:00+01:00, 2024-04-24T21:00:00+01:00
0.004000, 0.10, 2024-04-24T21:00:00+01:00, 2024-04-24T21:30:00+01:00
0.004000, 0.10, 2024-04-24T21:30:00+01:00, 2024-04-24T22:00:00+01:00
0.005000, 0.12, 2024-04-24T22:00:00+01:00, 2024-04-24T22:30:00+01:00
0.004000, 0.10, 2024-04-24T22:30:00+01:00, 2024-04-24T23:00:00+01:00
0.004000, 0.10, 2024-04-24T23:00:00+01:00, 2024-04-24T23:30:00+01:00
0.005000, 0.12, 2024-04-24T23:30:00+01:00, 2024-04-25T00:00:00+01:00
0.004000, 0.10, 2024-04-25T00:00:00+01:00, 2024-04-25T00:30:00+01:00
0.004000, 0.10, 2024-04-25T00:30:00+01:00, 2024-04-25T01:00:00+01:00
0.004000, 0.10, 2024-04-25T01:00:00+01:00, 2024-04-25T01:30:00+01:00
0.004000, 0.10, 2024-04-25T01:30:00+01:00, 2024-04-25T02:00:00+01:00
0.005000, 0.12, 2024-04-25T02:00:00+01:00, 2024-04-25T02:30:00+01:00
0.004000, 0.10, 2024-04-25T02:30:00+01:00, 2024-04-25T03:00:00+01:00
0.004000, 0.10, 2024-04-25T03:00:00+01:00, 2024-04-25T03:30:00+01:00
0.004000, 0.10, 2024-04-25T03:30:00+01:00, 2024-04-25T04:00:00+01:00
0.005000, 0.12, 2024-04-25T04:00:00+01:00, 2024-04-25T04:30:00+01:00
0.004000, 0.10, 2024-04-25T04:30:00+01:00, 2024-04-25T05:00:00+01:00
0.004000, 0.10, 2024-04-25T05:00:00+01:00, 2024-04-25T05:30:00+01:00
0.004000, 0.10, 2024-04-25T05:30:00+01:00, 2024-04-25T06:00:00+01:00
0.004000, 0.10, 2024-04-25T06:00:00+01:00, 2024-04-25T06:30:00+01:00
0.005000, 0.12, 2024-04-25T06:30:00+01:00, 2024-04-25T07:00:00+01:00
0.004000, 0.10, 2024-04-25T07:00:00+01:00, 2024-04-25T07:30:00+01:00
0.004000, 0.10, 2024-04-25T07:30:00+01:00, 2024-04-25T08:00:00+01:00
0.005000, 0.12, 2024-04-25T08:00:00+01:00, 2024-04-25T08:30:00+01:00
0.004000, 0.10, 2024-04-25T08:30:00+01:00, 2024-04-25T09:00:00+01:00
0.004000, 0.10, 2024-04-25T09:00:00+01:00, 2024-04-25T09:30:00+01:00
0.004000, 0.10, 2024-04-25T09:30:00+01:00, 2024-04-25T10:00:00+01:00
0.005000, 0.12, 2024-04-25T10:00:00+01:00, 2024-04-25T10:30:00+01:00
0.004000, 0.10, 2024-04-25T10:30:00+01:00, 2024-04-25T11:00:00+01:00
0.004000, 0.10, 2024-04-25T11:00:00+01:00, 2024-04-25T11:30:00+01:00
0.004000, 0.10, 2024-04-25T11:30:00+01:00, 2024-04-25T12:00:00+01:00
0.005000, 0.12, 2024-04-25T12:00:00+01:00, 2024-04-25T12:30:00+01:00
0.004000, 0.10, 2024-04-25T12:30:00+01:00, 2024-04-25T13:00:00+01:00
0.004000, 0.10, 2024-04-25T13:00:00+01:00, 2024-04-25T13:30:00+01:00
0.004000, 0.10, 2024-04-25T13:30:00+01:00, 2024-04-25T14:00:00+01:00
0.005000, 0.12, 2024-04-25T14:00:00+01:00, 2024-04-25T14:30:00+01:00
0.004000, 0.10, 2024-04-25T14:30:00+01:00, 2024-04-25T15:00:00+01:00
0.004000, 0.10, 2024-04-25T15:00:00+01:00, 2024-04-25T15:30:00+01:00
0.004000, 0.10, 2024-04-25T15:30:00+01:00, 2024-04-25T16:00:00+01:00
0.005000, 0.12, 2024-04-25T16:00:00+01:00, 2024-04-25T16:30:00+01:00
0.004000, 0.10, 2024-04-25T16:30:00+01:00, 2024-04-25T17:00:00+01:00
0.004000, 0.10, 2024-04-25T17:00:00+01:00, 2024-04-25T17:30:00+01:00
0.005000, 0.12, 2024-04-25T17:30:00+01:00, 2024-04-25T18:00:00+01:00
0.004000, 0.10, 2024-04-25T18:00:00+01:00, 2024-04-25T18:30:00+01:00
0.004000, 0.10, 2024-04-25T18:30:00+01:00, 2024-04-25T19:00:00+01:00
0.004000, 0.10, 2024-04-25T19:00:00+01:00, 2024-04-25T19:30:00+01:00
0.004000, 0.10, 2024-04-25T19:30:00+01:00, 2024-04-25T20:00:00+01:00
0.005000, 0.12, 2024-04-25T20:00:00+01:00, 2024-04-25T20:30:00+01:00
0.004000, 0.10, 2024-04-25T20:30:00+01:00, 2024-04-25T21:00:00+01:00
0.004000, 0.10, 2024-04-25T21:00:00+01:00, 2024-04-25T21:30:00+01:00
0.004000, 0.10, 2024-04-25T21:30:00+01:00, 2024-04-25T22:00:00+01:00
0.005000, 0.12, 2024-04-25T22:00:00+01:00, 2024-04-25T22:30:00+01:00
0.004000, 0.10, 2024-04-25T22:30:00+01:00, 2024-04-25T23:00:00+01:00
0.004000, 0.10, 2024-04-25T23:00:00+01:00, 2024-04-25T23:30:00+01:00
0.005000, 0.12, 2024-04-25T23:30:00+01:00, 2024-04-26T00:00:00+01:00
0.004000, 0.10, 2024-04-26T00:00:00+01:00, 2024-04-26T00:30:00+01:00
0.004000, 0.10, 2024-04-26T00:30:00+01:00, 2024-04-26T01:00:00+01:00
0.004000, 0.10, 2024-04-26T01:00:00+01:00, 2024-04-26T01:30:00+01:00
0.004000, 0.10, 2024-04-26T01:30:00+01:00, 2024-04-26T02:00:00+01:00
0.005000, 0.12, 2024-04-26T02:00:00+01:00, 2024-04-26T02:30:00+01:00
0.004000, 0.10, 2024-04-26T02:30:00+01:00, 2024-04-26T03:00:00+01:00
0.004000, 0.10, 2024-04-26T03:00:00+01:00, 2024-04-26T03:30:00+01:00
0.004000, 0.10, 2024-04-26T03:30:00+01:00, 2024-04-26T04:00:00+01:00
0.005000, 0.12, 2024-04-26T04:00:00+01:00, 2024-04-26T04:30:00+01:00
0.004000, 0.10, 2024-04-26T04:30:00+01:00, 2024-04-26T05:00:00+01:00
0.004000, 0.10, 2024-04-26T05:00:00+01:00, 2024-04-26T05:30:00+01:00
0.004000, 0.10, 2024-04-26T05:30:00+01:00, 2024-04-26T06:00:00+01:00
0.004000, 0.10, 2024-04-26T06:00:00+01:00, 2024-04-26T06:30:00+01:00
0.005000, 0.12, 2024-04-26T06:30:00+01:00, 2024-04-26T07:00:00+01:00
0.004000, 0.10, 2024-04-26T07:00:00+01:00, 2024-04-26T07:30:00+01:00
0.004000, 0.10, 2024-04-26T07:30:00+01:00, 2024-04-26T08:00:00+01:00
0.005000, 0.12, 2024-04-26T08:00:00+01:00, 2024-04-26T08:30:00+01:00
0.004000, 0.10, 2024-04-26T08:30:00+01:00, 2024-04-26T09:00:00+01:00
0.004000, 0.10, 2024-04-26T09:00:00+01:00, 2024-04-26T09:30:00+01:00
0.004000, 0.10, 2024-04-26T09:30:00+01:00, 2024-04-26T10:00:00+01:00
0.005000, 0.12, 2024-04-26T10:00:00+01:00, 2024-04-26T10:30:00+01:00
0.004000, 0.10, 2024-04-26T10:30:00+01:00, 2024-04-26T11:00:00+01:00
0.004000, 0.10, 2024-04-26T11:00:00+01:00, 2024-04-26T11:30:00+01:00
0.004000, 0.10, 2024-04-26T11:30:00+01:00, 2024-04-26T12:00:00+01:00
0.005000, 0.12, 2024-04-26T12:00:00+01:00, 2024-04-26T12:30:00+01:00
0.004000, 0.10, 2024-04-26T12:30:00+01:00, 2024-04-26T13:00:00+01:00
0.004000, 0.10, 2024-04-26T13:00:00+01:00, 2024-04-26T13:30:00+01:00
0.005000, 0.12, 2024-04-26T13:30:00+01:00, 2024-04-26T14:00:00+01:00
0.004000, 0.10, 2024-04-26T14:00:00+01:00, 2024-04-26T14:30:00+01:00
0.004000, 0.10, 2024-04-26T14:30:00+01:00, 2024-04-26T15:00:00+01:00
0.004000, 0.10, 2024-04-26T15:00:00+01:00, 2024-04-26T15:30:00+01:00
0.005000, 0.12, 2024-04-26T15:30:00+01:00, 2024-04-26T16:00:00+01:00
0.004000, 0.10, 2024-04-26T16:00:00+01:00, 2024-04-26T16:30:00+01:00
0.004000, 0.10, 2024-04-26T16:30:00+01:00, 2024-04-26T17:00:00+01:00
0.005000, 0.12, 2024-04-26T17:00:00+01:00, 2024-04-26T17:30:00+01:00
0.004000, 0.10, 2024-04-26T17:30:00+01:00, 2024-04-26T18:00:00+01:00
0.004000, 0.10, 2024-04-26T18:00:00+01:00, 2024-04-26T18:30:00+01:00
0.004000, 0.10, 2024-04-26T18:30:00+01:00, 2024-04-26T19:00:00+01:00
0.005000, 0.12, 2024-04-26T19:00:00+01:00, 2024-04-26T19:30:00+01:00
0.004000, 0.10, 2024-04-26T19:30:00+01:00, 2024-04-26T20:00:00+01:00
0.004000, 0.10, 2024-04-26T20:00:00+01:00, 2024-04-26T20:30:00+01:00
0.004000, 0.10, 2024-04-26T20:30:00+01:00, 2024-04-26T21:00:00+01:00
0.005000, 0.12, 2024-04-26T21:00:00+01:00, 2024-04-26T21:30:00+01:00
0.004000, 0.10, 2024-04-26T21:30:00+01:00, 2024-04-26T22:00:00+01:00
0.004000, 0.10, 2024-04-26T22:00:00+01:00, 2024-04-26T22:30:00+01:00
0.005000, 0.12, 2024-04-26T22:30:00+01:00, 2024-04-26T23:00:00+01:00
0.004000, 0.10, 2024-04-26T23:00:00+01:00, 2024-04-26T23:30:00+01:00
0.004000, 0.10, 2024-04-26T23:30:00+01:00, 2024-04-27T00:00:00+01:00
0.004000, 0.10, 2024-04-27T00:00:00+01:00, 2024-04-27T00:30:00+01:00
0.005000, 0.12, 2024-04-27T00:30:00+01:00, 2024-04-27T01:00:00+01:00
0.004000, 0.10, 2024-04-27T01:00:00+01:00, 2024-04-27T01:30:00+01:00
0.004000, 0.10, 2024-04-27T01:30:00+01:00, 2024-04-27T02:00:00+01:00
0.004000, 0.10, 2024-04-27T02:00:00+01:00, 2024-04-27T02:30:00+01:00
0.005000, 0.12, 2024-04-27T02:30:00+01:00, 2024-04-27T03:00:00+01:00
0.004000, 0.10, 2024-04-27T03:00:00+01:00, 2024-04-27T03:30:00+01:00
0.004000, 0.10, 2024-04-27T03:30:00+01:00, 2024-04-27T04:00:00+01:00
0.004000, 0.10, 2024-04-27T04:00:00+01:00, 2024-04-27T04:30:00+01:00
0.004000, 0.10, 2024-04-27T04:30:00+01:00, 2024-04-27T05:00:00+01:00
0.005000, 0.12, 2024-04-27T05:00:00+01:00, 2024-04-27T05:30:00+01:00
0.004000, 0.10, 2024-04-27T05:30:00+01:00, 2024-04-27T06:00:00+01:00
0.004000, 0.10, 2024-04-27T06:00:00+01:00, 2024-04-27T06:30:00+01:00
0.004000, 0.10, 2024-04-27T06:30:00+01:00, 2024-04-27T07:00:00+01:00
0.005000, 0.12, 2024-04-27T07:00:00+01:00, 2024-04-27T07:30:00+01:00
0.004000, 0.10, 2024-04-27T07:30:00+01:00, 2024-04-27T08:00:00+01:00
0.004000, 0.10, 2024-04-27T08:00:00+01:00, 2024-04-27T08:30:00+01:00
0.004000, 0.10, 2024-04-27T08:30:00+01:00, 2024-04-27T09:00:00+01:00
0.005000, 0.12, 2024-04-27T09:00:00+01:00, 2024-04-27T09:30:00+01:00
0.004000, 0.10, 2024-04-27T09:30:00+01:00, 2024-04-27T10:00:00+01:00
0.004000, 0.10, 2024-04-27T10:00:00+01:00, 2024-04-27T10:30:00+01:00
0.005000, 0.12, 2024-04-27T10:30:00+01:00, 2024-04-27T11:00:00+01:00
0.004000, 0.10, 2024-04-27T11:00:00+01:00, 2024-04-27T11:30:00+01:00
0.004000, 0.10, 2024-04-27T11:30:00+01:00, 2024-04-27T12:00:00+01:00
0.004000, 0.10, 2024-04-27T12:00:00+01:00, 2024-04-27T12:30:00+01:00
0.005000, 0.12, 2024-04-27T12:30:00+01:00, 2024-04-27T13:00:00+01:00
0.004000, 0.10, 2024-04-27T13:00:00+01:00, 2024-04-27T13:30:00+01:00
0.004000, 0.10, 2024-04-27T13:30:00+01:00, 2024-04-27T14:00:00+01:00
0.004000, 0.10, 2024-04-27T14:00:00+01:00, 2024-04-27T14:30:00+01:00
0.005000, 0.12, 2024-04-27T14:30:00+01:00, 2024-04-27T15:00:00+01:00
0.004000, 0.10, 2024-04-27T15:00:00+01:00, 2024-04-27T15:30:00+01:00
0.004000, 0.10, 2024-04-27T15:30:00+01:00, 2024-04-27T16:00:00+01:00
0.004000, 0.10, 2024-04-27T16:00:00+01:00, 2024-04-27T16:30:00+01:00
0.005000, 0.12, 2024-04-27T16:30:00+01:00, 2024-04-27T17:00:00+01:00
0.004000, 0.10, 2024-04-27T17:00:00+01:00, 2024-04-27T17:30:00+01:00
0.004000, 0.10, 2024-04-27T17:30:00+01:00, 2024-04-27T18:00:00+01:00
0.004000, 0.10, 2024-04-27T18:00:00+01:00, 2024-04-27T18:30:00+01:00
0.005000, 0.12, 2024-04-27T18:30:00+01:00, 2024-04-27T19:00:00+01:00
0.004000, 0.10, 2024-04-27T19:00:00+01:00, 2024-04-27T19:30:00+01:00
0.004000, 0.10, 2024-04-27T19:30:00+01:00, 2024-04-27T20:00:00+01:00
0.005000, 0.12, 2024-04-27T20:00:00+01:00, 2024-04-27T20:30:00+01:00
0.004000, 0.10, 2024-04-27T20:30:00+01:00, 2024-04-27T21:00:00+01:00
0.004000, 0.10, 2024-04-27T21:00:00+01:00, 2024-04-27T21:30:00+01:00
0.004000, 0.10, 2024-04-27T21:30:00+01:00, 2024-04-27T22:00:00+01:00
0.005000, 0.12, 2024-04-27T22:00:00+01:00, 2024-04-27T22:30:00+01:00
0.004000, 0.10, 2024-04-27T22:30:00+01:00, 2024-04-27T23:00:00+01:00
0.004000, 0.10, 2024-04-27T23:00:00+01:00, 2024-04-27T23:30:00+01:00
0.004000, 0.10, 2024-04-27T23:30:00+01:00, 2024-04-28T00:00:00+01:00
0.005000, 0.12, 2024-04-28T00:00:00+01:00, 2024-04-28T00:30:00+01:00
0.004000, 0.10, 2024-04-28T00:30:00+01:00, 2024-04-28T01:00:00+01:00
0.004000, 0.10, 2024-04-28T01:00:00+01:00, 2024-04-28T01:30:00+01:00
0.004000, 0.10, 2024-04-28T01:30:00+01:00, 2024-04-28T02:00:00+01:00
0.004000, 0.10, 2024-04-28T02:00:00+01:00, 2024-04-28T02:30:00+01:00
0.005000, 0.12, 2024-04-28T02:30:00+01:00, 2024-04-28T03:00:00+01:00
0.004000, 0.10, 2024-04-28T03:00:00+01:00, 2024-04-28T03:30:00+01:00
0.004000, 0.10, 2024-04-28T03:30:00+01:00, 2024-04-28T04:00:00+01:00
0.004000, 0.10, 2024-04-28T04:00:00+01:00, 2024-04-28T04:30:00+01:00
0.005000, 0.12, 2024-04-28T04:30:00+01:00, 2024-04-28T05:00:00+01:00
0.004000, 0.10, 2024-04-28T05:00:00+01:00, 2024-04-28T05:30:00+01:00
0.004000, 0.10, 2024-04-28T05:30:00+01:00, 2024-04-28T06:00:00+01:00
0.004000, 0.10, 2024-04-28T06:00:00+01:00, 2024-04-28T06:30:00+01:00
0.004000, 0.10, 2024-04-28T06:30:00+01:00, 2024-04-28T07:00:00+01:00
0.005000, 0.12, 2024-04-28T07:00:00+01:00, 2024-04-28T07:30:00+01:00
0.004000, 0.10, 2024-04-28T07:30:00+01:00, 2024-04-28T08:00:00+01:00
0.004000, 0.10, 2024-04-28T08:00:00+01:00, 2024-04-28T08:30:00+01:00
0.004000, 0.10, 2024-04-28T08:30:00+01:00, 2024-04-28T09:00:00+01:00
0.005000, 0.12, 2024-04-28T09:00:00+01:00, 2024-04-28T09:30:00+01:00
0.004000, 0.10, 2024-04-28T09:30:00+01:00, 2024-04-28T10:00:00+01:00
0.004000, 0.10, 2024-04-28T10:00:00+01:00, 2024-04-28T10:30:00+01:00
0.005000, 0.12, 2024-04-28T10:30:00+01:00, 2024-04-28T11:00:00+01:00
0.004000, 0.10, 2024-04-28T11:00:00+01:00, 2024-04-28T11:30:00+01:00
0.004000, 0.10, 2024-04-28T11:30:00+01:00, 2024-04-28T12:00:00+01:00
0.004000, 0.10, 2024-04-28T12:00:00+01:00, 2024-04-28T12:30:00+01:00
0.005000, 0.12, 2024-04-28T12:30:00+01:00, 2024-04-28T13:00:00+01:00
0.004000, 0.10, 2024-04-28T13:00:00+01:00, 2024-04-28T13:30:00+01:00
0.004000, 0.10, 2024-04-28T13:30:00+01:00, 2024-04-28T14:00:00+01:00
0.004000, 0.10, 2024-04-28T14:00:00+01:00, 2024-04-28T14:30:00+01:00
0.005000, 0.12, 2024-04-28T14:30:00+01:00, 2024-04-28T15:00:00+01:00
0.004000, 0.10, 2024-04-28T15:00:00+01:00, 2024-04-28T15:30:00+01:00
0.004000, 0.10, 2024-04-28T15:30:00+01:00, 2024-04-28T16:00:00+01:00
0.004000, 0.10, 2024-04-28T16:00:00+01:00, 2024-04-28T16:30:00+01:00
0.005000, 0.12, 2024-04-28T16:30:00+01:00, 2024-04-28T17:00:00+01:00
0.004000, 0.10, 2024-04-28T17:00:00+01:00, 2024-04-28T17:30:00+01:00
0.004000, 0.10, 2024-04-28T17:30:00+01:00, 2024-04-28T18:00:00+01:00
0.004000, 0.10, 2024-04-28T18:00:00+01:00, 2024-04-28T18:30:00+01:00
0.005000, 0.12, 2024-04-28T18:30:00+01:00, 2024-04-28T19:00:00+01:00
0.004000, 0.10, 2024-04-28T19:00:00+01:00, 2024-04-28T19:30:00+01:00
0.004000, 0.10, 2024-04-28T19:30:00+01:00, 2024-04-28T20:00:00+01:00
0.004000, 0.10, 2024-04-28T20:00:00+01:00, 2024-04-28T20:30:00+01:00
0.005000, 0.12, 2024-04-28T20:30:00+01:00, 2024-04-28T21:00:00+01:00
0.004000, 0.10, 2024-04-28T21:00:00+01:00, 2024-04-28T21:30:00+01:00
0.004000, 0.10, 2024-04-28T21:30:00+01:00, 2024-04-28T22:00:00+01:00
0.004000, 0.10, 2024-04-28T22:00:00+01:00, 2024-04-28T22:30:00+01:00
0.005000, 0.12, 2024-04-28T22:30:00+01:00, 2024-04-28T23:00:00+01:00
0.004000, 0.10, 2024-04-28T23:00:00+01:00, 2024-04-28T23:30:00+01:00
0.004000, 0.10, 2024-04-28T23:30:00+01:00, 2024-04-29T00:00:00+01:00
0.004000, 0.10, 2024-04-29T00:00:00+01:00, 2024-04-29T00:30:00+01:00
0.005000, 0.12, 2024-04-29T00:30:00+01:00, 2024-04-29T01:00:00+01:00
0.004000, 0.10, 2024-04-29T01:00:00+01:00, 2024-04-29T01:30:00+01:00
0.004000, 0.10, 2024-04-29T01:30:00+01:00, 2024-04-29T02:00:00+01:00
0.004000, 0.10, 2024-04-29T02:00:00+01:00, 2024-04-29T02:30:00+01:00
0.004000, 0.10, 2024-04-29T02:30:00+01:00, 2024-04-29T03:00:00+01:00
0.005000, 0.12, 2024-04-29T03:00:00+01:00, 2024-04-29T03:30:00+01:00
0.004000, 0.10, 2024-04-29T03:30:00+01:00, 2024-04-29T04:00:00+01:00
0.004000, 0.10, 2024-04-29T04:00:00+01:00, 2024-04-29T04:30:00+01:00
0.004000, 0.10, 2024-04-29T04:30:00+01:00, 2024-04-29T05:00:00+01:00
0.004000, 0.10, 2024-04-29T05:00:00+01:00, 2024-04-29T05:30:00+01:00
0.005000, 0.12, 2024-04-29T05:30:00+01:00, 2024-04-29T06:00:00+01:00
0.004000, 0.10, 2024-04-29T06:00:00+01:00, 2024-04-29T06:30:00+01:00
0.004000, 0.10, 2024-04-29T06:30:00+01:00, 2024-04-29T07:00:00+01:00
0.004000, 0.10, 2024-04-29T07:00:00+01:00, 2024-04-29T07:30:00+01:00
0.005000, 0.12, 2024-04-29T07:30:00+01:00, 2024-04-29T08:00:00+01:00
0.004000, 0.10, 2024-04-29T08:00:00+01:00, 2024-04-29T08:30:00+01:00
0.004000, 0.10, 2024-04-29T08:30:00+01:00, 2024-04-29T09:00:00+01:00
0.004000, 0.10, 2024-04-29T09:00:00+01:00, 2024-04-29T09:30:00+01:00
0.005000, 0.12, 2024-04-29T09:30:00+01:00, 2024-04-29T10:00:00+01:00
0.004000, 0.10, 2024-04-29T10:00:00+01:00, 2024-04-29T10:30:00+01:00
0.004000, 0.10, 2024-04-29T10:30:00+01:00, 2024-04-29T11:00:00+01:00
0.005000, 0.12, 2024-04-29T11:00:00+01:00, 2024-04-29T11:30:00+01:00
0.004000, 0.10, 2024-04-29T11:30:00+01:00, 2024-04-29T12:00:00+01:00
0.004000, 0.10, 2024-04-29T12:00:00+01:00, 2024-04-29T12:30:00+01:00
0.004000, 0.10, 2024-04-29T12:30:00+01:00, 2024-04-29T13:00:00+01:00
0.005000, 0.12, 2024-04-29T13:00:00+01:00, 2024-04-29T13:30:00+01:00
0.004000, 0.10, 2024-04-29T13:30:00+01:00, 2024-04-29T14:00:00+01:00
0.004000, 0.10, 2024-04-29T14:00:00+01:00, 2024-04-29T14:30:00+01:00
0.004000, 0.10, 2024-04-29T14:30:00+01:00, 2024-04-29T15:00:00+01:00
0.005000, 0.12, 2024-04-29T15:00:00+01:00, 2024-04-29T15:30:00+01:00
0.004000, 0.10, 2024-04-29T15:30:00+01:00, 2024-04-29T16:00:00+01:00
0.004000, 0.10, 2024-04-29T16:00:00+01:00, 2024-04-29T16:30:00+01:00
0.004000, 0.10, 2024-04-29T16:30:00+01:00, 2024-04-29T17:00:00+01:00
0.005000, 0.12, 2024-04-29T17:00:00+01:00, 2024-04-29T17:30:00+01:00
0.004000, 0.10, 2024-04-29T17:30:00+01:00, 2024-04-29T18:00:00+01:00
0.004000, 0.10, 2024-04-29T18:00:00+01:00, 2024-04-29T18:30:00+01:00
0.004000, 0.10, 2024-04-29T18:30:00+01:00, 2024-04-29T19:00:00+01:00
0.005000, 0.12, 2024-04-29T19:00:00+01:00, 2024-04-29T19:30:00+01:00
0.004000, 0.10, 2024-04-29T19:30:00+01:00, 2024-04-29T20:00:00+01:00
0.004000, 0.10, 2024-04-29T20:00:00+01:00, 2024-04-29T20:30:00+01:00
0.005000, 0.12, 2024-04-29T20:30:00+01:00, 2024-04-29T21:00:00+01:00
0.004000, 0.10, 2024-04-29T21:00:00+01:00, 2024-04-29T21:30:00+01:00
0.004000, 0.10, 2024-04-29T21:30:00+01:00, 2024-04-29T22:00:00+01:00
0.004000, 0.10, 2024-04-29T22:00:00+01:00, 2024-04-29T22:30:00+01:00
0.005000, 0.12, 2024-04-29T22:30:00+01:00, 2024-04-29T23:00:00+01:00
0.004000, 0.10, 2024-04-29T23:00:00+01:00, 2024-04-29T23:30:00+01:00
0.004000, 0.10, 2024-04-29T23:30:00+01:00, 2024-04-30T00:00:00+01:00
0.004000, 0.10, 2024-04-30T00:00:00+01:00, 2024-04-30T00:30:00+01:00
0.005000, 0.12, 2024-04-30T00:30:00+01:00, 2024-04-30T01:00:00+01:00
0.004000, 0.10, 2024-04-30T01:00:00+01:00, 2024-04-30T01:30:00+01:00
0.004000, 0.10, 2024-04-30T01:30:00+01:00, 2024-04-30T02:00:00+01:00
0.004000, 0.10, 2024-04-30T02:00:00+01:00, 2024-04-30T02:30:00+01:00
0.005000, 0.12, 2024-04-30T02:30:00+01:00, 2024-04-30T03:00:00+01:00
0.004000, 0.10, 2024-04-30T03:00:00+01:00, 2024-04-30T03:30:00+01:00
0.004000, 0.10, 2024-04-30T03:30:00+01:00, 2024-04-30T04:00:00+01:00
0.004000, 0.10, 2024-04-30T04:00:00+01:00, 2024-04-30T04:30:00+01:00
0.004000, 0.10, 2024-04-30T04:30:00+01:00, 2024-04-30T05:00:00+01:00
0.005000, 0.12, 2024-04-30T05:00:00+01:00, 2024-04-30T05:30:00+01:00
0.004000, 0.10, 2024-04-30T05:30:00+01:00, 2024-04-30T06:00:00+01:00
0.004000, 0.10, 2024-04-30T06:00:00+01:00, 2024-04-30T06:30:00+01:00
0.004000, 0.10, 2024-04-30T06:30:00+01:00, 2024-04-30T07:00:00+01:00
0.005000, 0.12, 2024-04-30T07:00:00+01:00, 2024-04-30T07:30:00+01:00
0.004000, 0.10, 2024-04-30T07:30:00+01:00, 2024-04-30T08:00:00+01:00
0.004000, 0.10, 2024-04-30T08:00:00+01:00, 2024-04-30T08:30:00+01:00
0.005000, 0.12, 2024-04-30T08:30:00+01:00, 2024-04-30T09:00:00+01:00
0.004000, 0.10, 2024-04-30T09:00:00+01:00, 2024-04-30T09:30:00+01:00
0.004000, 0.10, 2024-04-30T09:30:00+01:00, 2024-04-30T10:00:00+01:00
0.004000, 0.10, 2024-04-30T10:00:00+01:00, 2024-04-30T10:30:00+01:00
0.005000, 0.12, 2024-04-30T10:30:00+01:00, 2024-04-30T11:00:00+01:00
0.004000, 0.10, 2024-04-30T11:00:00+01:00, 2024-04-30T11:30:00+01:00
0.004000, 0.10, 2024-04-30T11:30:00+01:00, 2024-04-30T12:00:00+01:00
0.004000, 0.10, 2024-04-30T12:00:00+01:00, 2024-04-30T12:30:00+01:00
0.005000, 0.12, 2024-04-30T12:30:00+01:00, 2024-04-30T13:00:00+01:00
0.004000, 0.10, 2024-04-30T13:00:00+01:00, 2024-04-30T13:30:00+01:00
0.004000, 0.10, 2024-04-30T13:30:00+01:00, 2024-04-30T14:00:00+01:00
0.005000, 0.12, 2024-04-30T14:00:00+01:00, 2024-04-30T14:30:00+01:00
0.004000, 0.10, 2024-04-30T14:30:00+01:00, 2024-04-30T15:00:00+01:00
0.004000, 0.10, 2024-04-30T15:00:00+01:00, 2024-04-30T15:30:00+01:00
0.004000, 0.10, 2024-04-30T15:30:00+01:00, 2024-04-30T16:00:00+01:00
0.005000, 0.12, 2024-04-30T16:00:00+01:00, 2024-04-30T16:30:00+01:00
0.004000, 0.10, 2024-04-30T16:30:00+01:00, 2024-04-30T17:00:00+01:00
0.004000, 0.10, 2024-04-30T17:00:00+01:00, 2024-04-30T17:30:00+01:00
0.004000, 0.10, 2024-04-30T17:30:00+01:00, 2024-04-30T18:00:00+01:00
0.005000, 0.12, 2024-04-30T18:00:00+01:00, 2024-04-30T18:30:00+01:00
0.004000, 0.10, 2024-04-30T18:30:00+01:00, 2024-04-30T19:00:00+01:00
0.004000, 0.10, 2024-04-30T19:00:00+01:00, 2024-04-30T19:30:00+01:00
0.004000, 0.10, 2024-04-30T19:30:00+01:00, 2024-04-30T20:00:00+01:00
